name,taxType,link,image,price,soldOut
(강원 원주) 들기름 모음,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-3790-1009003?tpa_index18274=8&PB_1410486717=4&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_ef8e84592d517ed00bd64e52f92d.jpg,"34,000 P",FALSE
[대구 북구] 풍국면 선물세트(500g×4개),C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4631-1003006?tpa_index18274=8&PB_1410486717=4&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_e8d647ecfde64efde8d5ab1da49c.jpg,"11,000 P",FALSE
"[화천] 유기농 토고미 현미, 오분도미(2kg)",A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-11664-1009015?tpa_index18274=8&PB_1410486717=4&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_7525639a271e7c4856b005391163.jpg,"20,000 P",FALSE
[경남 남해군]남해유자 트래블 2종 세트,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-9811-1015014?tpa_index18274=8&PB_1410486717=4&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_4e0ef41c7f25e7ec54dbff3d5d65.jpg,"20,000 P",FALSE
[와인] N 사과 화이트 스위트 12도 750ml + N 사과 화이트 스위트 12도 100ml,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1759-1010008?tpa_index18274=8&PB_1410486717=5&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_980d96e31c3fb8a7a146a74ed9f7.jpg,"30,000 P",FALSE
[강원 춘천시] 콩이랑상걸리전통장 (특허)토마토고추장 500g,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-3837-1009002?tpa_index18274=8&PB_1410486717=5&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_8f8bcd3d8b57229aa43997342d50.jpg,"15,000 P",FALSE
[강원 강릉시] 명품강릉찹쌀한과,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-9696-1009004?tpa_index18274=8&PB_1410486717=5&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_f6fccc14418c52848337ed348124.png,"30,000 P",FALSE
국내산 친환경 무농약 수제 백향과청 1000ml,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-9506-1013018?tpa_index18274=8&PB_1410486717=5&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_f9aa548f850c0c857d752943f9ba.jpg,"25,000 P",FALSE
[경북 경산시] 경산사랑카드,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1131-1014011?tpa_index18274=8&PB_1410486717=5&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_eae88238296456cbb1ec2600dc48.png,"50,000 P",FALSE
건표고버섯 세트,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-3233-1009011?tpa_index18274=8&PB_1410486717=5&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_de75a46f30e9db87c71c1ca2bb06.jpg,"30,000 P",FALSE
