name,link,image,price,soldOut,state,region,category,taxType
강원애(愛) 섬강한돈 선물세트,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1931-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_bb90b4a62ceb3b78e2fa9643984b.jpg,"59,000 P",FALSE,강원도,원주시,농축산물,A
[원주] 치악산 토종꿀-피키허니,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4709-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_f1bb84888df2ecb199bc8c560eae.jpg,"45,000 P",FALSE,강원도,원주시,농축산물,A
"원주축협 치악산한우 명품 로스구이세트 [1+등급/등심,안심,채끝 각500g]",https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1011-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_53afe9a21f9024aa7d9b6a4ec34a.jpg,"260,000 P",FALSE,강원도,원주시,농축산물,A
한돈명인의 치악산금돈 고향사랑E,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4763-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_ea80bae24f79cf0470acab6c9621.jpg,"300,000 P",FALSE,강원도,원주시,농축산물,A
한돈명인의 치악산금돈 고향사랑A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4745-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_ed0ef18e3198285ff0a395b45865.jpg,"30,000 P",FALSE,강원도,원주시,농축산물,C
"원주축협 치악산한우 VIP 로스구이세트 2호 [1++등급/등심,안심,채끝 각500g]",https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1010-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_dc32390c72f7329ee140ed20fabd.jpg,"295,000 P",FALSE,강원도,원주시,농축산물,A
한돈명인의 치악산금돈 고향사랑E,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4763-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_ea80bae24f79cf0470acab6c9621.jpg,"300,000 P",FALSE,강원도,원주시,농축산물,A
강원도 원주 설통 토종꿀 2.4kg,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1913-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_a55cc86972c974fd4f909953d104.png,"250,000 P",FALSE,강원도,원주시,농축산물,A
해화미세트,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-3408-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_b7e4a914f65937987da4b5d88344.jpg,"30,000 P",FALSE,강원도,원주시,농축산물,A
원주축협 치악산한우 명품 찜갈비세트 [1+등급/냉동 찜갈비 800g*3팩],https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1014-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_2cd23281caebc25cf3b3691a241d.jpg,"285,000 P",FALSE,강원도,원주시,농축산물,A
한돈명인의 치악산금돈 고향사랑A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4745-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_ed0ef18e3198285ff0a395b45865.jpg,"30,000 P",FALSE,강원도,원주시,농축산물,C
"원주축협 치악산한우 명품 로스구이세트 [1+등급/등심,안심,채끝 각500g]",https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1011-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_53afe9a21f9024aa7d9b6a4ec34a.jpg,"260,000 P",FALSE,강원도,원주시,농축산물,A
[허브이야기]폴인허브4종세트,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-943-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_1465a44af5fab42467265124e9b9.jpg,"21,000 P",FALSE,강원도,원주시,농축산물,C
강원애(愛) 섬강한돈 선물세트,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1931-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_bb90b4a62ceb3b78e2fa9643984b.jpg,"59,000 P",FALSE,강원도,원주시,농축산물,A
허브정원푸실 허브잼 선물세트 220g * 3개,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-3584-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M04&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_2d6e19f706e47e2a76a20add7ae8.jpg,"32,000 P",FALSE,강원도,원주시,가공식품,C
[과자/간식] 뻥스낵 [3종/각 5개/총 15개/1박스],https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-3455-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M04&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_d5569ddc5f9e51f59aa0a449873c.jpg,"30,000 P",FALSE,강원도,원주시,가공식품,C
